uni_type,fitness_open,student_groups_open,cancel_events_over_size,cancel_sports,hybrid_classes,age_test_boost,student_facing_test_boost,pre_existing_condition_test_boost,deprioritize_antibody,central_tracking,ct_compliance,traced_compliance,quarantine_compliance,test_compliance,social_distancing,ct_history,ct_compliance_min,traced_compliance_min,quarantine_compliance_min,test_compliance_min,social_distancing_min,ct_compliance_max,traced_compliance_max,quarantine_compliance_max,test_compliance_max,social_distancing_max,all_events_canceled,no_events_canceled
SMALL,YES,YES,110,YES,NO,YES,NO,YES,NO,NO,LOW,LOW,LOW,LOW,LOW,7,0.5,0.5,0.5,0.5,0,0.75,0.75,0.75,0.75,1,NO,YES
SMALL,YES,NO,60,NO,NO,NO,YES,YES,NO,YES,HIGH,LOW,LOW,HIGH,LOW,7,0.7,0.5,0.5,0.7,0,0.95,0.75,0.75,0.95,1,NO,NO
SMALL,NO,YES,10,NO,NO,NO,YES,YES,YES,YES,LOW,LOW,HIGH,LOW,HIGH,14,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,YES,NO
SMALL,NO,YES,85,YES,YES,NO,YES,YES,YES,YES,LOW,HIGH,HIGH,HIGH,LOW,7,0.5,0.7,0.7,0.7,0,0.75,0.95,0.95,0.95,1,NO,NO
SMALL,NO,NO,60,YES,NO,YES,NO,NO,YES,NO,HIGH,LOW,HIGH,LOW,LOW,7,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,NO,NO
SMALL,YES,YES,60,YES,NO,YES,NO,YES,NO,NO,LOW,LOW,HIGH,HIGH,LOW,7,0.5,0.5,0.7,0.7,0,0.75,0.75,0.95,0.95,1,NO,NO
SMALL,NO,NO,10,NO,NO,YES,NO,NO,YES,NO,HIGH,LOW,HIGH,LOW,LOW,7,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,YES,NO
SMALL,YES,YES,110,YES,YES,YES,YES,NO,YES,NO,HIGH,HIGH,LOW,HIGH,HIGH,7,0.7,0.7,0.5,0.7,0.5,0.95,0.95,0.75,0.95,1,NO,YES
SMALL,YES,NO,85,NO,NO,NO,YES,YES,YES,YES,LOW,LOW,HIGH,HIGH,HIGH,7,0.5,0.5,0.7,0.7,0.5,0.75,0.75,0.95,0.95,1,NO,NO
SMALL,YES,NO,85,YES,YES,YES,NO,NO,YES,NO,HIGH,HIGH,HIGH,HIGH,LOW,7,0.7,0.7,0.7,0.7,0,0.95,0.95,0.95,0.95,1,NO,NO
SMALL,NO,YES,60,NO,NO,NO,YES,YES,NO,YES,LOW,LOW,LOW,HIGH,LOW,7,0.5,0.5,0.5,0.7,0,0.75,0.75,0.75,0.95,1,NO,NO
SMALL,YES,NO,85,YES,NO,YES,YES,YES,YES,YES,HIGH,LOW,HIGH,LOW,LOW,14,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,NO,NO
SMALL,YES,YES,85,YES,YES,YES,NO,NO,YES,YES,HIGH,LOW,LOW,HIGH,HIGH,14,0.7,0.5,0.5,0.7,0.5,0.95,0.75,0.75,0.95,1,NO,NO
SMALL,YES,YES,60,YES,YES,YES,YES,YES,NO,YES,LOW,HIGH,LOW,HIGH,LOW,14,0.5,0.7,0.5,0.7,0,0.75,0.95,0.75,0.95,1,NO,NO
SMALL,NO,YES,85,NO,NO,YES,NO,YES,NO,NO,LOW,LOW,HIGH,HIGH,HIGH,14,0.5,0.5,0.7,0.7,0.5,0.75,0.75,0.95,0.95,1,NO,NO
SMALL,YES,YES,10,YES,NO,YES,NO,NO,NO,NO,LOW,LOW,LOW,HIGH,HIGH,14,0.5,0.5,0.5,0.7,0.5,0.75,0.75,0.75,0.95,1,YES,NO
SMALL,YES,NO,60,YES,YES,NO,YES,NO,YES,NO,LOW,LOW,LOW,HIGH,HIGH,7,0.5,0.5,0.5,0.7,0.5,0.75,0.75,0.75,0.95,1,NO,NO
SMALL,NO,NO,35,NO,NO,YES,YES,YES,NO,YES,HIGH,HIGH,HIGH,HIGH,LOW,14,0.7,0.7,0.7,0.7,0,0.95,0.95,0.95,0.95,1,NO,NO
SMALL,YES,NO,35,NO,YES,NO,NO,NO,YES,NO,HIGH,HIGH,HIGH,HIGH,HIGH,14,0.7,0.7,0.7,0.7,0.5,0.95,0.95,0.95,0.95,1,NO,NO
SMALL,NO,NO,10,NO,YES,NO,YES,YES,NO,NO,HIGH,HIGH,HIGH,LOW,HIGH,14,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,YES,NO
SMALL,YES,YES,85,NO,YES,YES,YES,NO,NO,YES,LOW,LOW,HIGH,LOW,LOW,7,0.5,0.5,0.7,0.5,0,0.75,0.75,0.95,0.75,1,NO,NO
SMALL,NO,YES,60,YES,YES,NO,NO,YES,YES,YES,HIGH,HIGH,LOW,LOW,HIGH,14,0.7,0.7,0.5,0.5,0.5,0.95,0.95,0.75,0.75,1,NO,NO
SMALL,NO,NO,10,YES,NO,YES,YES,NO,YES,YES,HIGH,LOW,HIGH,LOW,HIGH,14,0.7,0.5,0.7,0.5,0.5,0.95,0.75,0.95,0.75,1,YES,NO
SMALL,NO,NO,85,YES,NO,NO,YES,NO,YES,YES,LOW,LOW,HIGH,HIGH,HIGH,14,0.5,0.5,0.7,0.7,0.5,0.75,0.75,0.95,0.95,1,NO,NO
SMALL,YES,YES,35,NO,YES,YES,YES,YES,NO,YES,LOW,LOW,HIGH,HIGH,LOW,7,0.5,0.5,0.7,0.7,0,0.75,0.75,0.95,0.95,1,NO,NO
SMALL,NO,NO,60,YES,NO,YES,YES,YES,NO,YES,HIGH,HIGH,LOW,LOW,LOW,14,0.7,0.7,0.5,0.5,0,0.95,0.95,0.75,0.75,1,NO,NO
SMALL,NO,NO,110,NO,NO,YES,YES,NO,YES,YES,LOW,HIGH,LOW,LOW,LOW,7,0.5,0.7,0.5,0.5,0,0.75,0.95,0.75,0.75,1,NO,YES
SMALL,YES,NO,60,NO,NO,YES,NO,YES,YES,YES,HIGH,LOW,HIGH,LOW,LOW,7,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,NO,NO
SMALL,YES,NO,35,NO,NO,NO,YES,NO,YES,YES,LOW,LOW,HIGH,LOW,HIGH,14,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,NO,NO
SMALL,NO,NO,85,YES,YES,NO,YES,YES,YES,YES,HIGH,HIGH,HIGH,LOW,LOW,14,0.7,0.7,0.7,0.5,0,0.95,0.95,0.95,0.75,1,NO,NO
SMALL,NO,YES,110,NO,YES,NO,NO,YES,YES,NO,LOW,LOW,HIGH,HIGH,HIGH,7,0.5,0.5,0.7,0.7,0.5,0.75,0.75,0.95,0.95,1,NO,YES
SMALL,NO,NO,10,NO,YES,NO,YES,NO,YES,YES,HIGH,HIGH,HIGH,HIGH,LOW,14,0.7,0.7,0.7,0.7,0,0.95,0.95,0.95,0.95,1,YES,NO
SMALL,NO,NO,85,NO,NO,NO,YES,NO,NO,NO,LOW,LOW,LOW,HIGH,HIGH,14,0.5,0.5,0.5,0.7,0.5,0.75,0.75,0.75,0.95,1,NO,NO
SMALL,NO,YES,60,NO,YES,YES,NO,NO,NO,NO,HIGH,LOW,HIGH,HIGH,LOW,7,0.7,0.5,0.7,0.7,0,0.95,0.75,0.95,0.95,1,NO,NO
SMALL,NO,YES,35,YES,NO,NO,YES,NO,NO,YES,LOW,LOW,LOW,LOW,LOW,7,0.5,0.5,0.5,0.5,0,0.75,0.75,0.75,0.75,1,NO,NO
SMALL,YES,NO,110,NO,NO,NO,YES,YES,NO,YES,HIGH,LOW,HIGH,LOW,LOW,7,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,NO,YES
SMALL,NO,NO,10,YES,NO,YES,YES,YES,YES,YES,LOW,LOW,HIGH,LOW,HIGH,7,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,YES,NO
SMALL,YES,NO,110,NO,YES,NO,YES,YES,NO,YES,LOW,LOW,HIGH,LOW,HIGH,14,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,NO,YES
SMALL,NO,NO,60,NO,NO,YES,YES,YES,YES,NO,LOW,LOW,LOW,HIGH,LOW,7,0.5,0.5,0.5,0.7,0,0.75,0.75,0.75,0.95,1,NO,NO
SMALL,NO,NO,60,NO,YES,NO,NO,NO,YES,YES,HIGH,LOW,LOW,LOW,HIGH,7,0.7,0.5,0.5,0.5,0.5,0.95,0.75,0.75,0.75,1,NO,NO
SMALL,YES,NO,110,NO,YES,YES,YES,NO,YES,YES,LOW,LOW,HIGH,LOW,LOW,7,0.5,0.5,0.7,0.5,0,0.75,0.75,0.95,0.75,1,NO,YES
SMALL,NO,YES,85,YES,NO,YES,NO,YES,YES,NO,HIGH,HIGH,HIGH,LOW,HIGH,7,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,NO,NO
SMALL,NO,YES,60,NO,NO,YES,NO,YES,NO,NO,LOW,LOW,HIGH,HIGH,LOW,14,0.5,0.5,0.7,0.7,0,0.75,0.75,0.95,0.95,1,NO,NO
SMALL,YES,YES,10,YES,NO,NO,NO,YES,YES,YES,LOW,LOW,HIGH,LOW,HIGH,14,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,YES,NO
SMALL,YES,NO,110,NO,YES,NO,NO,NO,YES,YES,HIGH,LOW,LOW,LOW,HIGH,7,0.7,0.5,0.5,0.5,0.5,0.95,0.75,0.75,0.75,1,NO,YES
SMALL,NO,YES,110,YES,YES,NO,NO,NO,YES,NO,LOW,LOW,LOW,LOW,LOW,14,0.5,0.5,0.5,0.5,0,0.75,0.75,0.75,0.75,1,NO,YES
SMALL,NO,YES,35,YES,YES,YES,NO,YES,YES,YES,LOW,LOW,HIGH,LOW,HIGH,7,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,NO,NO
SMALL,YES,YES,110,NO,YES,NO,YES,NO,NO,YES,HIGH,LOW,LOW,LOW,HIGH,14,0.7,0.5,0.5,0.5,0.5,0.95,0.75,0.75,0.75,1,NO,YES
SMALL,NO,YES,10,YES,NO,NO,NO,YES,YES,NO,LOW,HIGH,HIGH,HIGH,HIGH,14,0.5,0.7,0.7,0.7,0.5,0.75,0.95,0.95,0.95,1,YES,NO
SMALL,YES,NO,35,YES,YES,NO,NO,YES,YES,YES,LOW,LOW,HIGH,HIGH,LOW,14,0.5,0.5,0.7,0.7,0,0.75,0.75,0.95,0.95,1,NO,NO
SMALL,NO,YES,110,NO,NO,YES,YES,NO,NO,NO,LOW,LOW,HIGH,LOW,LOW,7,0.5,0.5,0.7,0.5,0,0.75,0.75,0.95,0.75,1,NO,YES
SMALL,NO,YES,60,NO,NO,YES,NO,YES,NO,NO,LOW,HIGH,HIGH,HIGH,LOW,7,0.5,0.7,0.7,0.7,0,0.75,0.95,0.95,0.95,1,NO,NO
SMALL,YES,YES,85,YES,YES,YES,NO,YES,NO,YES,HIGH,HIGH,LOW,HIGH,LOW,7,0.7,0.7,0.5,0.7,0,0.95,0.95,0.75,0.95,1,NO,NO
SMALL,YES,NO,110,YES,NO,NO,YES,NO,YES,YES,LOW,LOW,HIGH,HIGH,HIGH,14,0.5,0.5,0.7,0.7,0.5,0.75,0.75,0.95,0.95,1,NO,YES
SMALL,YES,NO,110,NO,YES,YES,NO,YES,NO,YES,LOW,HIGH,LOW,LOW,LOW,7,0.5,0.7,0.5,0.5,0,0.75,0.95,0.75,0.75,1,NO,YES
SMALL,NO,YES,60,YES,YES,YES,YES,NO,NO,YES,LOW,HIGH,LOW,HIGH,HIGH,7,0.5,0.7,0.5,0.7,0.5,0.75,0.95,0.75,0.95,1,NO,NO
SMALL,NO,YES,110,YES,YES,YES,YES,NO,YES,NO,HIGH,HIGH,LOW,LOW,HIGH,14,0.7,0.7,0.5,0.5,0.5,0.95,0.95,0.75,0.75,1,NO,YES
SMALL,NO,NO,10,YES,YES,NO,NO,YES,NO,YES,LOW,LOW,LOW,HIGH,LOW,7,0.5,0.5,0.5,0.7,0,0.75,0.75,0.75,0.95,1,YES,NO
SMALL,YES,YES,110,YES,NO,NO,YES,YES,NO,YES,LOW,HIGH,LOW,LOW,HIGH,14,0.5,0.7,0.5,0.5,0.5,0.75,0.95,0.75,0.75,1,NO,YES
SMALL,YES,YES,85,NO,YES,YES,YES,YES,YES,YES,LOW,LOW,LOW,LOW,LOW,7,0.5,0.5,0.5,0.5,0,0.75,0.75,0.75,0.75,1,NO,NO
SMALL,YES,YES,10,YES,NO,YES,NO,YES,NO,NO,HIGH,HIGH,LOW,HIGH,LOW,7,0.7,0.7,0.5,0.7,0,0.95,0.95,0.75,0.95,1,YES,NO
SMALL,YES,YES,35,NO,NO,NO,NO,NO,YES,NO,LOW,HIGH,LOW,LOW,HIGH,7,0.5,0.7,0.5,0.5,0.5,0.75,0.95,0.75,0.75,1,NO,NO
SMALL,YES,NO,85,YES,NO,YES,NO,YES,YES,YES,LOW,HIGH,LOW,LOW,LOW,7,0.5,0.7,0.5,0.5,0,0.75,0.95,0.75,0.75,1,NO,NO
SMALL,NO,YES,110,YES,NO,NO,YES,NO,NO,YES,HIGH,LOW,HIGH,LOW,HIGH,7,0.7,0.5,0.7,0.5,0.5,0.95,0.75,0.95,0.75,1,NO,YES
SMALL,NO,YES,85,NO,NO,YES,NO,NO,YES,NO,LOW,LOW,HIGH,LOW,LOW,14,0.5,0.5,0.7,0.5,0,0.75,0.75,0.95,0.75,1,NO,NO
SMALL,YES,YES,10,NO,NO,NO,YES,NO,YES,YES,LOW,LOW,HIGH,HIGH,HIGH,14,0.5,0.5,0.7,0.7,0.5,0.75,0.75,0.95,0.95,1,YES,NO
SMALL,NO,NO,10,NO,NO,YES,NO,NO,NO,NO,LOW,LOW,LOW,LOW,LOW,7,0.5,0.5,0.5,0.5,0,0.75,0.75,0.75,0.75,1,YES,NO
SMALL,NO,NO,10,NO,NO,NO,YES,NO,NO,YES,LOW,HIGH,LOW,LOW,HIGH,14,0.5,0.7,0.5,0.5,0.5,0.75,0.95,0.75,0.75,1,YES,NO
SMALL,NO,YES,85,YES,YES,YES,YES,YES,YES,NO,HIGH,LOW,LOW,LOW,LOW,7,0.7,0.5,0.5,0.5,0,0.95,0.75,0.75,0.75,1,NO,NO
SMALL,YES,NO,110,YES,NO,YES,NO,YES,YES,YES,HIGH,LOW,HIGH,LOW,LOW,14,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,NO,YES
SMALL,YES,NO,110,YES,YES,NO,NO,YES,NO,NO,LOW,LOW,HIGH,LOW,HIGH,14,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,NO,YES
SMALL,YES,YES,35,NO,YES,YES,NO,YES,NO,YES,HIGH,HIGH,LOW,HIGH,HIGH,14,0.7,0.7,0.5,0.7,0.5,0.95,0.95,0.75,0.95,1,NO,NO
SMALL,YES,YES,35,YES,YES,YES,NO,YES,YES,NO,HIGH,HIGH,HIGH,LOW,LOW,14,0.7,0.7,0.7,0.5,0,0.95,0.95,0.95,0.75,1,NO,NO
SMALL,YES,YES,35,NO,YES,YES,NO,NO,YES,NO,LOW,LOW,LOW,HIGH,HIGH,7,0.5,0.5,0.5,0.7,0.5,0.75,0.75,0.75,0.95,1,NO,NO
SMALL,YES,YES,85,YES,NO,YES,YES,NO,YES,NO,HIGH,LOW,HIGH,HIGH,HIGH,7,0.7,0.5,0.7,0.7,0.5,0.95,0.75,0.95,0.95,1,NO,NO
SMALL,NO,YES,85,YES,NO,NO,NO,NO,YES,NO,HIGH,LOW,LOW,HIGH,LOW,7,0.7,0.5,0.5,0.7,0,0.95,0.75,0.75,0.95,1,NO,NO
SMALL,YES,NO,110,NO,NO,NO,YES,NO,NO,YES,HIGH,HIGH,HIGH,LOW,HIGH,7,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,NO,YES
SMALL,NO,YES,35,NO,YES,YES,YES,YES,YES,YES,HIGH,HIGH,HIGH,LOW,HIGH,7,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,NO,NO
SMALL,NO,NO,60,NO,NO,NO,NO,YES,YES,NO,HIGH,LOW,LOW,HIGH,LOW,14,0.7,0.5,0.5,0.7,0,0.95,0.75,0.75,0.95,1,NO,NO
SMALL,YES,YES,110,YES,NO,NO,YES,YES,NO,YES,LOW,LOW,LOW,HIGH,HIGH,7,0.5,0.5,0.5,0.7,0.5,0.75,0.75,0.75,0.95,1,NO,YES
SMALL,NO,YES,60,NO,YES,YES,YES,YES,YES,YES,LOW,HIGH,HIGH,LOW,HIGH,14,0.5,0.7,0.7,0.5,0.5,0.75,0.95,0.95,0.75,1,NO,NO
SMALL,YES,YES,35,NO,YES,YES,YES,YES,YES,YES,LOW,LOW,HIGH,HIGH,HIGH,14,0.5,0.5,0.7,0.7,0.5,0.75,0.75,0.95,0.95,1,NO,NO
SMALL,NO,YES,85,NO,YES,YES,NO,NO,NO,NO,LOW,HIGH,HIGH,HIGH,HIGH,7,0.5,0.7,0.7,0.7,0.5,0.75,0.95,0.95,0.95,1,NO,NO
SMALL,NO,YES,110,NO,NO,YES,YES,NO,NO,NO,HIGH,LOW,LOW,LOW,HIGH,7,0.7,0.5,0.5,0.5,0.5,0.95,0.75,0.75,0.75,1,NO,YES
SMALL,YES,NO,35,YES,YES,NO,NO,NO,NO,NO,HIGH,LOW,LOW,HIGH,HIGH,7,0.7,0.5,0.5,0.7,0.5,0.95,0.75,0.75,0.95,1,NO,NO
SMALL,YES,NO,10,YES,NO,NO,NO,NO,NO,YES,HIGH,LOW,LOW,HIGH,LOW,14,0.7,0.5,0.5,0.7,0,0.95,0.75,0.75,0.95,1,YES,NO
SMALL,YES,YES,110,YES,NO,NO,YES,YES,NO,NO,HIGH,LOW,HIGH,HIGH,HIGH,7,0.7,0.5,0.7,0.7,0.5,0.95,0.75,0.95,0.95,1,NO,YES
SMALL,NO,NO,35,NO,NO,YES,NO,NO,YES,NO,LOW,HIGH,HIGH,HIGH,LOW,14,0.5,0.7,0.7,0.7,0,0.75,0.95,0.95,0.95,1,NO,NO
SMALL,NO,NO,110,NO,NO,YES,NO,YES,NO,NO,HIGH,LOW,LOW,HIGH,HIGH,14,0.7,0.5,0.5,0.7,0.5,0.95,0.75,0.75,0.95,1,NO,YES
SMALL,NO,YES,10,YES,NO,NO,YES,YES,NO,YES,HIGH,HIGH,LOW,LOW,HIGH,14,0.7,0.7,0.5,0.5,0.5,0.95,0.95,0.75,0.75,1,YES,NO
SMALL,NO,NO,10,YES,YES,NO,NO,NO,YES,YES,LOW,LOW,LOW,HIGH,LOW,7,0.5,0.5,0.5,0.7,0,0.75,0.75,0.75,0.95,1,YES,NO
SMALL,YES,YES,110,NO,YES,NO,NO,YES,YES,YES,HIGH,HIGH,HIGH,LOW,LOW,14,0.7,0.7,0.7,0.5,0,0.95,0.95,0.95,0.75,1,NO,YES
SMALL,NO,YES,60,YES,YES,NO,YES,YES,YES,YES,HIGH,HIGH,HIGH,LOW,HIGH,7,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,NO,NO
SMALL,YES,YES,85,YES,YES,NO,YES,YES,NO,NO,LOW,HIGH,LOW,LOW,HIGH,14,0.5,0.7,0.5,0.5,0.5,0.75,0.95,0.75,0.75,1,NO,NO
SMALL,NO,YES,35,YES,YES,YES,NO,YES,YES,NO,HIGH,LOW,LOW,HIGH,HIGH,14,0.7,0.5,0.5,0.7,0.5,0.95,0.75,0.75,0.95,1,NO,NO
SMALL,YES,NO,35,YES,YES,NO,NO,YES,YES,NO,HIGH,HIGH,HIGH,HIGH,HIGH,7,0.7,0.7,0.7,0.7,0.5,0.95,0.95,0.95,0.95,1,NO,NO
SMALL,YES,YES,35,YES,NO,YES,YES,NO,NO,NO,LOW,LOW,LOW,LOW,HIGH,14,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1,NO,NO
SMALL,YES,YES,110,YES,NO,NO,YES,YES,NO,NO,HIGH,HIGH,LOW,LOW,HIGH,7,0.7,0.7,0.5,0.5,0.5,0.95,0.95,0.75,0.75,1,NO,YES
SMALL,NO,YES,85,YES,YES,YES,NO,YES,YES,NO,LOW,LOW,HIGH,LOW,LOW,14,0.5,0.5,0.7,0.5,0,0.75,0.75,0.95,0.75,1,NO,NO
SMALL,NO,YES,10,NO,YES,NO,YES,YES,NO,YES,HIGH,HIGH,HIGH,LOW,HIGH,7,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,YES,NO
SMALL,YES,NO,35,NO,YES,YES,NO,YES,NO,YES,LOW,LOW,LOW,LOW,LOW,14,0.5,0.5,0.5,0.5,0,0.75,0.75,0.75,0.75,1,NO,NO
SMALL,NO,NO,60,YES,NO,NO,NO,NO,YES,NO,HIGH,HIGH,HIGH,LOW,HIGH,14,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,NO,NO
SMALL,NO,YES,60,YES,NO,NO,YES,YES,NO,YES,HIGH,LOW,HIGH,LOW,LOW,14,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,NO,NO
SMALL,YES,NO,60,NO,YES,NO,NO,YES,YES,NO,HIGH,HIGH,LOW,HIGH,LOW,7,0.7,0.7,0.5,0.7,0,0.95,0.95,0.75,0.95,1,NO,NO
SMALL,YES,YES,110,NO,NO,YES,YES,NO,NO,NO,LOW,HIGH,HIGH,LOW,LOW,14,0.5,0.7,0.7,0.5,0,0.75,0.95,0.95,0.75,1,NO,YES
SMALL,NO,NO,110,NO,YES,NO,YES,NO,NO,NO,LOW,LOW,LOW,HIGH,HIGH,14,0.5,0.5,0.5,0.7,0.5,0.75,0.75,0.75,0.95,1,NO,YES
SMALL,NO,NO,35,NO,NO,YES,YES,NO,NO,YES,LOW,HIGH,HIGH,HIGH,LOW,14,0.5,0.7,0.7,0.7,0,0.75,0.95,0.95,0.95,1,NO,NO
SMALL,YES,NO,110,NO,NO,NO,YES,YES,YES,YES,LOW,HIGH,HIGH,HIGH,HIGH,7,0.5,0.7,0.7,0.7,0.5,0.75,0.95,0.95,0.95,1,NO,YES
SMALL,NO,NO,10,YES,NO,YES,YES,YES,NO,NO,HIGH,LOW,HIGH,LOW,LOW,7,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,YES,NO
SMALL,YES,NO,10,NO,NO,NO,NO,YES,NO,NO,LOW,LOW,LOW,HIGH,LOW,14,0.5,0.5,0.5,0.7,0,0.75,0.75,0.75,0.95,1,YES,NO
SMALL,YES,YES,35,YES,YES,NO,YES,NO,YES,NO,LOW,HIGH,LOW,LOW,LOW,7,0.5,0.7,0.5,0.5,0,0.75,0.95,0.75,0.75,1,NO,NO
SMALL,YES,YES,110,YES,YES,YES,YES,YES,NO,YES,HIGH,HIGH,HIGH,HIGH,LOW,7,0.7,0.7,0.7,0.7,0,0.95,0.95,0.95,0.95,1,NO,YES
SMALL,NO,YES,10,NO,YES,YES,NO,YES,YES,YES,HIGH,LOW,HIGH,LOW,LOW,7,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,YES,NO
SMALL,NO,YES,10,YES,YES,YES,YES,NO,NO,YES,LOW,HIGH,HIGH,HIGH,HIGH,14,0.5,0.7,0.7,0.7,0.5,0.75,0.95,0.95,0.95,1,YES,NO
SMALL,YES,NO,85,YES,NO,YES,YES,NO,NO,NO,HIGH,HIGH,LOW,HIGH,HIGH,7,0.7,0.7,0.5,0.7,0.5,0.95,0.95,0.75,0.95,1,NO,NO
SMALL,YES,YES,60,YES,NO,NO,NO,NO,NO,NO,HIGH,LOW,LOW,LOW,LOW,14,0.7,0.5,0.5,0.5,0,0.95,0.75,0.75,0.75,1,NO,NO
SMALL,NO,NO,10,YES,YES,NO,NO,NO,NO,YES,HIGH,HIGH,HIGH,LOW,HIGH,7,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,YES,NO
SMALL,YES,YES,110,YES,YES,YES,NO,NO,NO,NO,HIGH,HIGH,LOW,HIGH,LOW,7,0.7,0.7,0.5,0.7,0,0.95,0.95,0.75,0.95,1,NO,YES
SMALL,NO,NO,110,YES,NO,NO,YES,YES,NO,YES,HIGH,LOW,LOW,LOW,HIGH,14,0.7,0.5,0.5,0.5,0.5,0.95,0.75,0.75,0.75,1,NO,YES
SMALL,NO,NO,110,YES,YES,YES,YES,NO,NO,NO,LOW,HIGH,LOW,LOW,LOW,7,0.5,0.7,0.5,0.5,0,0.75,0.95,0.75,0.75,1,NO,YES
SMALL,NO,YES,85,NO,YES,NO,NO,NO,NO,NO,LOW,HIGH,LOW,HIGH,LOW,14,0.5,0.7,0.5,0.7,0,0.75,0.95,0.75,0.95,1,NO,NO
SMALL,NO,YES,35,NO,NO,NO,YES,NO,YES,YES,HIGH,LOW,LOW,HIGH,HIGH,7,0.7,0.5,0.5,0.7,0.5,0.95,0.75,0.75,0.95,1,NO,NO
SMALL,YES,YES,110,YES,NO,YES,NO,YES,YES,NO,HIGH,HIGH,HIGH,LOW,LOW,7,0.7,0.7,0.7,0.5,0,0.95,0.95,0.95,0.75,1,NO,YES
SMALL,YES,YES,60,YES,YES,NO,NO,YES,NO,NO,LOW,LOW,LOW,HIGH,HIGH,14,0.5,0.5,0.5,0.7,0.5,0.75,0.75,0.75,0.95,1,NO,NO
SMALL,NO,NO,10,NO,YES,YES,YES,NO,NO,YES,HIGH,HIGH,HIGH,HIGH,LOW,7,0.7,0.7,0.7,0.7,0,0.95,0.95,0.95,0.95,1,YES,NO
SMALL,YES,YES,85,NO,NO,NO,NO,NO,YES,NO,LOW,LOW,LOW,HIGH,LOW,14,0.5,0.5,0.5,0.7,0,0.75,0.75,0.75,0.95,1,NO,NO
SMALL,YES,NO,35,NO,NO,NO,NO,NO,YES,YES,HIGH,HIGH,LOW,LOW,HIGH,14,0.7,0.7,0.5,0.5,0.5,0.95,0.95,0.75,0.75,1,NO,NO
SMALL,NO,NO,35,YES,NO,YES,YES,YES,NO,YES,HIGH,LOW,LOW,LOW,LOW,14,0.7,0.5,0.5,0.5,0,0.95,0.75,0.75,0.75,1,NO,NO
SMALL,NO,YES,85,YES,YES,YES,NO,NO,NO,YES,HIGH,LOW,LOW,LOW,HIGH,7,0.7,0.5,0.5,0.5,0.5,0.95,0.75,0.75,0.75,1,NO,NO
SMALL,YES,YES,85,YES,YES,NO,YES,YES,YES,NO,HIGH,HIGH,HIGH,LOW,HIGH,7,0.7,0.7,0.7,0.5,0.5,0.95,0.95,0.95,0.75,1,NO,NO
SMALL,NO,YES,60,YES,NO,YES,YES,NO,NO,YES,HIGH,LOW,HIGH,LOW,LOW,14,0.7,0.5,0.7,0.5,0,0.95,0.75,0.95,0.75,1,NO,NO
SMALL,YES,NO,85,NO,YES,YES,NO,YES,YES,YES,LOW,LOW,LOW,LOW,LOW,14,0.5,0.5,0.5,0.5,0,0.75,0.75,0.75,0.75,1,NO,NO
SMALL,YES,NO,10,YES,YES,YES,NO,NO,YES,NO,LOW,HIGH,LOW,LOW,HIGH,7,0.5,0.7,0.5,0.5,0.5,0.75,0.95,0.75,0.75,1,YES,NO
SMALL,NO,YES,10,YES,YES,NO,NO,NO,YES,NO,LOW,HIGH,HIGH,HIGH,LOW,7,0.5,0.7,0.7,0.7,0,0.75,0.95,0.95,0.95,1,YES,NO
SMALL,NO,YES,60,YES,YES,YES,YES,NO,YES,NO,HIGH,HIGH,LOW,HIGH,LOW,7,0.7,0.7,0.5,0.7,0,0.95,0.95,0.75,0.95,1,NO,NO
